Security_1,Security_2,Last_Spread,Z_Score,Max,Min,Last_vs_Max,Last_vs_Min,Percentile,XCCY,Custom_Sector_1,Custom_Sector_2,Rating_1,Rating_2,Currency_1,Currency_2,Ticker_1,Ticker_2,CPN_TYPE_1,CPN_TYPE_2,Yrs_Mat_Bucket_1,Yrs_Mat_Bucket_2,Yrs_Since_Issue_Bucket_1,Yrs_Since_Issue_Bucket_2,Own?,Best Bid_runs1,Best Offer_runs1,Bid/Offer_runs1,Dealer @ Best Bid_runs1,Dealer @ Best Offer_runs1,Size @ Best Bid_runs1,Size @ Best Offer_runs1,G Spread_runs1,Keyword_runs1,Best Bid_runs2,Best Offer_runs2,Bid/Offer_runs2,Dealer @ Best Bid_runs2,Dealer @ Best Offer_runs2,Size @ Best Bid_runs2,Size @ Best Offer_runs2,G Spread_runs2,Keyword_runs2
ALACN 2.166 03/16/27,CM 1.96 04/21/31,30.6603,2.7571,30.6603,1.0829,0.0000,29.5774,99.8016,28.5697,Midstream,NVCC Sub Debt,BBB-,BBB+,CAD,CAD,ALACN,CM,FIXED,VARIABLE,1-2.1,5.1-7.1,3-5,3-5,0,63.0000,,,NBF,,5000000.0000,,69.0000,,32.0000,31.0000,1.0000,CIBC,NBF,20000000.0000,5000000.0000,31.5800,
BCECN 1.65 08/16/27,CM 1.96 04/21/31,2.8148,2.7566,2.8148,-36.2540,0.0000,39.0688,99.8016,1.6433,Cable/Telco,NVCC Sub Debt,BBB,BBB+,CAD,CAD,BCECN,CM,FIXED,VARIABLE,2.1-3.1,5.1-7.1,3-5,3-5,0,30.0000,,,NBF,,5000000.0000,,38.7000,,32.0000,31.0000,1.0000,CIBC,NBF,20000000.0000,5000000.0000,31.5800,
BCECN 3 03/17/31,CM 1.96 04/21/31,64.7466,2.5963,67.2474,35.4727,-2.5008,29.2738,99.4048,62.1742,Cable/Telco,NVCC Sub Debt,BBB,BBB+,CAD,CAD,BCECN,CM,FIXED,VARIABLE,5.1-7.1,5.1-7.1,3-5,3-5,0,98.0000,94.0000,4.0000,TD,RBC,10000000.0000,5000000.0000,96.1000,AXE,32.0000,31.0000,1.0000,CIBC,NBF,20000000.0000,5000000.0000,31.5800,
BAC 1.978 09/15/27,CM 1.96 04/21/31,23.0317,2.5825,25.1068,-3.8416,-2.0752,26.8733,99.4048,21.1853,Financial Maples,NVCC Sub Debt,A,BBB+,CAD,CAD,BAC,CM,VARIABLE,VARIABLE,2.1-3.1,5.1-7.1,3-5,3-5,0,53.0000,48.0000,5.0000,TD,TD,5000000.0000,5000000.0000,55.3500,,32.0000,31.0000,1.0000,CIBC,NBF,20000000.0000,5000000.0000,31.5800,
ALACN 2.166 03/16/27,CCOCN 2.95 10/21/27,5.2471,2.4766,5.2937,-12.3891,-0.0466,17.6363,99.4048,4.3547,Midstream,Other,BBB-,BBB-,CAD,CAD,ALACN,CCOCN,FIXED,FIXED,1-2.1,2.1-3.1,3-5,3-5,0,63.0000,,,NBF,,5000000.0000,,69.0000,,63.0000,53.0000,10.0000,NBF,NBF,5000000.0000,2000000.0000,58.1200,AXE
BCECN 1.65 08/16/27,BCECN 2.2 05/29/28,-11.1911,2.3841,-2.5990,-34.5517,-8.5922,23.3606,98.6111,-17.2008,Cable/Telco,Cable/Telco,BBB,BBB,CAD,CAD,BCECN,BCECN,FIXED,FIXED,2.1-3.1,2.1-3.1,3-5,3-5,0,30.0000,,,NBF,,5000000.0000,,38.7000,,51.0000,,,CIBC,,3000000.0000,,49.0000,
BCIMCR 1.747 07/24/30,CM 1.96 04/21/31,32.3170,2.3590,34.6339,4.2623,-2.3169,28.0548,99.4048,29.9418,Pension,NVCC Sub Debt,NR,BBB+,CAD,CAD,BCIMCR,CM,FIXED,VARIABLE,4.1-5.1,5.1-7.1,3-5,3-5,0,66.0000,,,NBF,,5000000.0000,,66.0000,,32.0000,31.0000,1.0000,CIBC,NBF,20000000.0000,5000000.0000,31.5800,
ATDBCN 3 5/8 05/13/51,BNCN 2.724 04/15/31,62.0567,2.3522,62.0567,12.9232,0.0000,49.1336,99.8016,40.3016,Non Financial Maples,Asset Manager,BBB+,A-,USD,USD,ATDBCN,BNCN,FIXED,FIXED,>25.1,5.1-7.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
ALACN 2.166 03/16/27,CCDJ 1.992 05/28/31,26.2973,2.3268,26.6966,0.1156,-0.3993,26.1817,99.4048,24.9897,Midstream,Non Major Sub Debt,BBB-,A-,CAD,CAD,ALACN,CCDJ,FIXED,VARIABLE,1-2.1,5.1-7.1,3-5,3-5,0,63.0000,,,NBF,,5000000.0000,,69.0000,,38.0000,28.0000,10.0000,NBF,NBF,25000000.0000,5000000.0000,37.0200,AXE
ATDBCN 3 5/8 05/13/51,BAC 2.087 06/14/29,71.9706,2.2885,72.9433,32.5772,-0.9727,39.3935,99.0079,46.8119,Non Financial Maples,Financial Maples,BBB+,A,USD,USD,ATDBCN,BAC,FIXED,VARIABLE,>25.1,3.1-4.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
