Security,Bid Spread,Ask Spread,Bid Size,Ask Size,DoD,WoW,MTD,QTD,YTD,1YR,DoD Chg Bid Size,DoD Chg Ask Size,MTD Chg Bid Size,MTD Chg Ask Size,Best Bid,Best Offer,Bid/Offer,Dealer @ Best Bid,Dealer @ Best Offer,Size @ Best Bid,Size @ Best Offer,CUSIP,G Spread,Keyword
MICCN 4.95 03/24/2081,2023.0,1695.0,0.0,0.0,-165.0,,-165.0,-165.0,,,0.0,0.0,0.0,0.0,,1735.2,,,TD,,2000000.0,786688AC5,2020.34,
GWOCN 3.6 12/31/2081,937.0,874.0,1000000.0,5000000.0,-28.0,-4.0,-28.0,-28.0,-52.0,-52.0,0.0,0.0,0.0,0.0,906.0,853.21,52.789999999999964,BMO,CIBC,2000000.0,2000000.0,39138CAL0,936.54,AXE
RY 4 02/24/2081,251.0,182.0,2000000.0,3000000.0,-28.0,-29.0,-28.0,-28.0,,,0.0,0.0,0.0,0.0,236.0,182.0,54.0,NBF,BMO,2000000.0,3000000.0,780086SV7,248.23,
TD 3.6 10/31/2081,952.0,907.0,2000000.0,5000000.0,-26.0,9.0,-26.0,-26.0,-142.0999999999999,-142.0999999999999,0.0,0.0,0.0,0.0,901.0,907.0,-6.0,SCM,BMO,2000000.0,5000000.0,89117FM63,951.08,
RY 3.65 11/24/2081,974.0,928.0,2000000.0,1000000.0,-26.0,9.0,-26.0,-26.0,-124.09999999999991,-124.09999999999991,0.0,0.0,0.0,0.0,974.0,940.0,34.0,BMO,RBC,2000000.0,3000000.0,780086TQ7,972.84,
CM 4 3/8 10/28/2080,186.0,144.0,5000000.0,5000000.0,-25.0,-28.0,-25.0,-25.0,-214.0,-214.0,0.0,0.0,0.0,0.0,184.31,101.23,83.08,CIBC,CIBC,3000000.0,3000000.0,13607HCD2,183.54,
MFCCN 3 3/8 06/19/2081,1256.0,1194.0,2000000.0,1000000.0,-18.0,19.0,-18.0,-18.0,217.79999999999995,217.79999999999995,0.0,0.0,0.0,0.0,1210.0,1148.0,62.0,RBC,RBC,3000000.0,3000000.0,56501RAL0,1255.57,
IFCCN 4 1/8 03/31/2081,384.0,226.0,0.0,0.0,-18.0,-35.0,-18.0,-18.0,,,0.0,0.0,0.0,0.0,319.0,,,RBC,,2000000.0,,45823TAD8,382.61,
BNS 3.7 07/27/2081,1225.0,1169.0,3000000.0,3000000.0,-18.0,31.0,-18.0,-18.0,13.0,13.0,0.0,0.0,0.0,0.0,1200.0,1156.0,44.0,BMO,RBC,2000000.0,3000000.0,06415FRB0,1224.83,
TD 3.6 10/31/2081,983.0,939.0,3000000.0,3000000.0,-18.0,19.0,-18.0,-18.0,-142.0,-142.0,0.0,0.0,0.0,0.0,901.0,907.0,-6.0,SCM,BMO,2000000.0,5000000.0,89117FM63,983.56,AXE
RY 3.65 11/24/2081,996.0,951.0,3000000.0,3000000.0,-17.0,18.0,-17.0,-17.0,-103.0,-103.0,0.0,0.0,0.0,0.0,974.0,940.0,34.0,BMO,RBC,2000000.0,3000000.0,780086TQ7,994.38,AXE
EQBCN 8 10/31/2084,415.0,396.0,2000000.0,1000000.0,-17.0,-18.0,-17.0,-17.0,,,0.0,0.0,0.0,0.0,415.0,,,TD,,2000000.0,,26886RAB0,414.45,
BNP 2.538 07/13/29,89.0,79.0,5000000.0,0.0,-16.0,-16.0,-16.0,-16.0,,,3000000.0,0.0,3000000.0,0.0,88.0,,,CIBC,,2000000.0,,BQ4211257,85.01,
GWOCN 3.6 12/31/2081,906.0,864.0,2000000.0,3000000.0,-16.0,7.0,-16.0,-16.0,-57.10000000000002,-57.10000000000002,0.0,0.0,0.0,0.0,906.0,853.21,52.789999999999964,BMO,CIBC,2000000.0,2000000.0,39138CAL0,906.02,
RCICN 5 12/17/2081,211.0,197.0,5000000.0,5000000.0,-16.0,-7.0,-16.0,-16.0,,,0.0,0.0,0.0,0.0,211.0,197.0,14.0,BMO,BMO,5000000.0,5000000.0,775109BR1,210.51,
BNS 3.7 07/27/2081,1200.0,1157.0,2000000.0,2000000.0,-16.0,33.0,-16.0,-16.0,-71.20000000000005,-71.20000000000005,0.0,0.0,0.0,0.0,1200.0,1156.0,44.0,BMO,RBC,2000000.0,3000000.0,06415FRB0,1197.75,
NACN 4.3 11/15/2080,192.0,140.0,2000000.0,2000000.0,-16.0,-31.0,-16.0,-16.0,-219.0,-219.0,0.0,0.0,0.0,0.0,192.0,140.0,52.0,NBF,NBF,2000000.0,2000000.0,63306AGL4,194.41,
MFCCN 4.1 03/19/2082,847.0,811.0,2000000.0,2000000.0,-15.0,3.0,-15.0,-15.0,-107.79999999999995,-107.79999999999995,0.0,0.0,0.0,0.0,847.0,811.0,36.0,BMO,BMO,2000000.0,2000000.0,56501RAM8,847.25,
RY 4 02/24/2081,250.0,215.0,1000000.0,0.0,-15.0,-30.0,-15.0,-15.0,,,0.0,0.0,0.0,0.0,236.0,182.0,54.0,NBF,BMO,2000000.0,3000000.0,780086SV7,246.26,
BMO 4.3 11/26/2080,183.0,157.0,3000000.0,2000000.0,-14.0,-20.0,-14.0,-14.0,-213.0,-213.0,0.0,0.0,0.0,0.0,183.0,123.12,59.879999999999995,NBF,CIBC,3000000.0,3000000.0,06368DJQ8,184.11,
ELFCN 3 5/8 04/17/2081,1400.0,1250.0,1000000.0,0.0,-14.0,27.0,-14.0,-14.0,,,0.0,0.0,0.0,0.0,1302.0,1192.0,110.0,RBC,RBC,2000000.0,2000000.0,291839AF5,1399.72,
MFCCN 7.117 06/19/2082,239.0,212.0,3000000.0,1000000.0,-14.0,-6.0,-14.0,-14.0,-140.0,-140.0,0.0,0.0,0.0,0.0,225.0,,,RBC,,5000000.0,,56501RAP1,241.58,
TD 5.909 01/31/2085,380.0,368.0,3000000.0,3000000.0,-13.0,-9.0,-13.0,-13.0,,,0.0,0.0,0.0,0.0,379.0,361.0,18.0,NBF,NBF,2000000.0,2000000.0,89116CVK0,376.91,
MFCCN 7.117 06/19/2082,231.0,187.0,2000000.0,1000000.0,-13.0,-23.0,-13.0,-13.0,-159.0,-159.0,0.0,0.0,0.0,0.0,225.0,,,RBC,,5000000.0,,56501RAP1,229.8,
PKICN 3 7/8 06/16/26,142.8,52.25,3000000.0,0.0,-12.839999999999975,-0.1799999999999784,-12.839999999999975,-12.839999999999975,,,0.0,-7000000.0,0.0,-7000000.0,137.15,-361.1,498.25,BMO,BMO,5000000.0,2000000.0,70137WAJ7,141.42,
NACN 4.05 08/15/2081,741.0,659.0,2000000.0,2000000.0,-12.0,3.0,-12.0,-12.0,-434.0,-434.0,0.0,0.0,0.0,0.0,729.0,659.0,70.0,BMO,NBF,2000000.0,2000000.0,63306AGP5,740.21,
TD 7.232 PERP,223.0,207.0,3000000.0,1000000.0,-12.0,-4.0,-12.0,-12.0,,,0.0,0.0,0.0,0.0,223.0,202.0,21.0,BMO,NBF,3000000.0,2000000.0,89117GHH3,218.0,
BAMREP 5.45 03/12/55,270.0,258.0,3000000.0,1000000.0,-12.0,4.0,-12.0,-12.0,,,0.0,0.0,0.0,0.0,268.0,255.0,13.0,RBC,RBC,2000000.0,2000000.0,112910AB0,271.63,
BNS 7.023 07/27/2082,243.0,217.0,3000000.0,5000000.0,-12.0,-10.0,-12.0,-12.0,,,0.0,0.0,0.0,0.0,237.0,195.0,42.0,NBF,NBF,2000000.0,2000000.0,06415GMJ6,239.77,
BMO 5 5/8 05/26/2082,229.0,186.0,2000000.0,1000000.0,-11.0,-19.0,-11.0,-11.0,-167.0,-167.0,0.0,0.0,0.0,0.0,220.0,203.0,17.0,BMO,RBC,5000000.0,2000000.0,06368DA87,228.02,
IAGCN 6.921 09/30/2084,338.0,325.0,2000000.0,1000000.0,-11.0,-3.0,-11.0,-11.0,,,0.0,0.0,0.0,0.0,324.0,311.0,13.0,RBC,RBC,5000000.0,2000000.0,45075EAF1,332.77,
